Player,Player ID
Daniel Santiago,2091
Shawnelle Scott,1035
Reggie Slater,1073
Mike Smith,2065
DeShawn Stevenson,2052
Stromile Swift,2031
Jake Voskuhl,2063
Victor Alexander,2349
Malik Allen,2124
Chris Andersen,2365
Gilbert Arenas,2240
Brandon Armstrong,2220
Carlos Arroyo,2306
Shane Battier,2203
Charlie Bell,2294
Raja Bell,1952
Ruben Boumtje-Boumtje,2257
Michael Bradley,2214
Jamison Brewer,2249
Damone Brown,2245
Ernest Brown,2081
Kedrick Brown,2208
Kwame Brown,2198
Tierre Brown,2357
Mitchell Butler,348
Tyson Chandler,2199
Speedy Claxton,2049
Jarron Collins,2260
Jason Collins,2215
Joe Crispin,2343
Eddy Curry,2201
Samuel Dalembert,2223
DeSagana Diop,2205
Predrag Drobnjak,1542
Maurice Evans,2230
Alton Ford,2228
Joseph Forte,2218
Antonis Fotsis,2238
Pau Gasol,2200
Steve Goodrich,1864
Eddie Griffin,2204
Tang Hamilton,2347
Trenton Hassell,2239
Kirk Haston,2213
Brendan Haywood,2217
Steven Hunter,2212
Jerome James,1744
Richard Jefferson,2210
Joe Johnson,2207
Alvin Jones,2264
Michael Jordan,893
Andrei Kirilenko,1905
Art Long,1609
Amal McCaskill,1043
Terence Morris,2242
Troy Murphy,2211
Dean Oliver,2352
Tony Parker,2225
Zach Randolph,2216
Jason Richardson,2202
Jeryl Sasser,2219
Kenny Satterfield,2261
Brian Scalabrine,2243
Bobby Simmons,2250
Charles Smith,293
Leon Smith,1910
Etan Thomas,2041
Jamaal Tinsley,2224
Jeff Trepagnier,2244
Ratko Varda,2237
Gerald Wallace,2222
Earl Watson,2248
Rodney White,2206
Loren Woods,2254
Robert Archibald,2425
Mengke Bateer,2370
Mike Batiste,2471
Lonny Baxter,2437
Carlos Boozer,2430
Devin Brown,2484
Pat Burke,2469
Caron Butler,2406
Rasual Butler,2446
Dan Dickau,2424
Juan Dixon,2413
Mike Dunleavy,2399
Melvin Ely,2408
Reggie Evans,2501
Tremaine Fowlkes,1762
Dan Gadzuric,2429
Anthony Goldwire,924
Drew Gooden,2400
Marcus Haislip,2409
Adam Harrington,2492
Junior Harrington,2454
Juaquin Hawkins,1038
Nate Huffman,1572
Ryan Humphrey,2415
Casey Jacobsen,2418
Mike James,2229
Chris Jefferies,2423
Jared Jeffries,2407
Ken Johnson,2256
Fred Jones,2410
Sean Lampley,2253
Tito Maddox,2432
Roger Mason,2427
Yao Ming,2397
Mehmet Okur,2246
Chris Owens,2442
Jannero Pargo,2457
Smush Parker,2470
Tayshaun Prince,2419
Efthimios Rentzias,981
Guy Rucker,2462
Kareem Rush,2416
John Salmons,2422
Jamal Sampson,2441
Ansu Sesay,1738
Paul Shirley,2321
Tamar Slay,2447
Nikoloz Tskitishvili,2401
Dajuan Wagner,2402
Chris Wilcox,2404
Mike Wilks,2366
Frank Williams,2421
Jay Williams,2398
Qyntel Woods,2417
Vincent Yarbrough,2428
Carmelo Anthony,2546
Marcus Banks,2556
Leandro Barbosa,2571
Jerome Beasley,2602
Troy Bell,2559
Steve Blake,2581
Keith Bogans,2586
Curtis Borchardt,2414
Chris Bosh,2547
Torraye Braggs,1765
Matt Carroll,2679
Brian Cook,2567
Marquis Daniels,2605
Boris Diaw,2564
Kaniel Dickens,2079
Ndudi Ebi,2569
Francisco Elson,1922
Richie Frahm,2499
Reece Gaines,2558
Alex Garcia,2682
Paul Grant,1514
Willie Green,2584
Ben Handlogten,1052
Travis Hansen,2580
Udonis Haslem,2617
Jarvis Hayes,2553
Shane Heal,1049
Kirk Hinrich,2550
Josh Howard,2572
Brandon Hunter,2599
LeBron James,2544
Britton Johnsen,2639
Linton Johnson,2669
Dahntay Jones,2563
James Jones,2592
Chris Kaman,2549
Jason Kapono,2574
Kyle Korver,2594
Maciej Lampe,2573
Keith McLeod,2693
Travis Outlaw,2566
Zaza Pachulia,2585
Kendrick Perkins,2570
Luke Ridnour,2557
Theron Smith,2604
Darius Songaila,2443
Dwyane Wade,2548
Luke Walton,2575
David West,2561
Tony Allen,2754
Trevor Ariza,2772
Matt Barnes,2440
Andre Barrett,2857
Tony Bobbitt,2800
Matt Bonner,2588
Antonio Burks,2766
Geno Carlisle,2367
Lionel Chalmers,2763
Josh Childress,2735
Nick Collison,2555
Erik Daniels,2845
Josh Davis,2668
Carlos Delfino,2568
Luol Deng,2736
Chris Duhon,2768
Ronald Dupree,2648
Corsley Edwards,2451
John Edwards,2823
Andre Emmett,2765
Luis Flores,2784
Matt Freije,2782
Eddie Gill,2109
Ben Gordon,2732
Devin Harris,2734
David Harrison,2758
Dwight Howard,2730
Kris Humphries,2743
Andre Iguodala,2738
Royal Ivey,2767
Luke Jackson,2739
Al Jefferson,2744
Horace Jenkins,2798
Mario Kasun,2435
Viktor Khryapa,2751
Shaun Livingston,2733
Kevin Martin,2755
Jameer Nelson,2749
Emeka Okafor,2731
Pavel Podkolzin,2750
Peter John Ramos,2762
Justin Reed,2770
Jared Reiner,2876
Bernard Robinson,2774
Quinton Ross,2624
Donta Smith,2764
Josh Smith,2746
Kirk Snyder,2745
Pape Sow,2776
Awvee Storey,2852
Robert Swift,2741
Yuta Tabuse,2657
Sebastian Telfair,2742
Beno Udrih,2757
Jackson Vroman,2761
Delonte West,2753
Damien Wilkins,2863
Dorell Wright,2748
Alex Acker,101165
Alan Anderson,101187
Earl Barron,2853
Eddie Basden,101188
Brandon Bass,101138
Esteban Batista,101212
Andray Blatche,101154
Andrew Bogut,101106
Kevin Burleson,101207
Jackie Butler,2866
Andrew Bynum,101115
Travis Diener,101143
Ike Diogu,101113
Monta Ellis,101145
Daniel Ewing,101137
Raymond Felton,101109
Gerald Fitch,2809
Sharrod Ford,101213
Channing Frye,101112
Deng Gai,101184
Ryan Gomes,101155
Joey Graham,101121
Stephen Graham,101211
Danny Granger,101122
Devin Green,101209
Gerald Green,101123
Orien Greene,101158
Luther Head,101129
Julius Hodge,101125
Randy Holcomb,2450
Jarrett Jack,101127
Amir Johnson,101161
Dwayne Jones,101204
Linas Kleiza,101132
Yaroslav Korolev,101117
David Lee,101135
Arvydas Macijauskas,101178
Rawle Marshall,101185
Jason Maxiell,101131
Sean May,101118
Rashad McCants,101119
Aaron Miles,101223
Fabricio Oberto,101177
Andre Owens,101261
Chris Paul,101108
Johan Petro,101130
Josh Powell,2694
Ronnie Price,101179
Shavlik Randolph,101183
Anthony Roberson,101194
Lawrence Roberts,101160
Nate Robinson,101126
Melvin Sanders,2684
Alex Scales,2637
Ha Seung-Jin,2775
Wayne Simien,101134
James Singleton,101189
Salim Stoudamire,101136
Chris Taft,101147
Donell Taylor,101182
James Thomas,2839
Dijon Thompson,101159
Charlie Villanueva,101111
Von Wafer,101144
Matt Walsh,101190
Hakim Warrick,101124
Martell Webster,101110
Robert Whaley,101156
Deron Williams,101114
Marvin Williams,101107
Antoine Wright,101120
Bracey Wright,101152
Hassan Adams,200801
Maurice Ager,200772
LaMarcus Aldridge,200746
Hilton Armstrong,200756
James Augustine,200788
Kelenna Azubuike,101235
Renaldo Balkman,200764
Andrea Bargnani,200745
Maceo Baston,1766
Will Blalock,200807
Josh Boone,200767
Cedric Bozeman,200841
Ronnie Brewer,200758
Andre Brown,2810
Shannon Brown,200769
Rodney Carney,200760
Mardy Collins,200776
Will Conroy,101215
Paul Davis,200781
Yakhouba Diawara,200821
Quincy Douby,200763
Jordan Farmar,200770
Desmon Farmer,2824
Randy Foye,200751
Jorge Garbajosa,200816
Rudy Gay,200752
Daniel Gibson,200789
Andreas Glyniadakis,2601
Lynn Greer,2696
Mike Hall,200837
Chuck Hayes,101236
Walter Herrmann,200835
Robert Hite,200823
Ryan Hollins,200797
Alexander Johnson,200792
Bobby Jones,77193
Solomon Jones,200780
Tarence Kinsey,200814
James Lang,2591
Kyle Lowry,200768
Renaldo Major,200970
Damir Markota,200806
Chris McCray,200840
Ivan McFarlin,200829
Pops Mensah-Bonsu,200822
Paul Millsap,200794
Adam Morrison,200747
David Noel,200786
Steve Novak,200779
Patrick O'Bryant,200753
Leon Powe,200796
Roger Powell,101232
Chris Quinn,200809
Allan Ray,200810
JJ Redick,200755
Jeremy Richardson,200978
Rajon Rondo,200765
Brandon Roy,200750
Luke Schenscher,101195
Thabo Sefolosha,200757
Cedric Simmons,200759
Craig Smith,200783
Steven Smith,120
Vassilis Spanoulis,2779
Tyrus Thomas,200748
Ronny Turiaf,101142
Ime Udoka,2137
Marcus Vinicius,200790
James White,200778
Justin Williams,200818
Marcus Williams,200766
Shawne Williams,200761
Shelden Williams,200749
Arron Afflalo,201167
Morris Almond,201165
Joel Anthony,201202
Marco Belinelli,201158
Corey Brewer,201147
Aaron Brooks,201166
Wilson Chandler,201163
Mike Conley,201144
Daequan Cook,201161
Javaris Crittenton,201159
Jermareo Davidson,201176
Glen Davis,201175
Jared Dudley,201162
Kevin Durant,201142
Nick Fazekas,201174
Kyrylo Fesenko,201178
Thomas Gardner,201242
Marcin Gortat,101162
Aaron Gray,201189
Jeff Green,201145
Taurean Green,201192
Spencer Hawes,201150
Al Horford,201143
Yi Jianlian,201146
Coby Karl,201207
Carl Landry,201171
Keith Langford,101247
Acie Law,201151
Ian Mahinmi,101133
Dominic McGuire,201187
Josh McRoberts,201177
Jamario Moon,200081
Randolph Morris,201043
Juan Carlos Navarro,2434
Demetris Nichols,201193
Joakim Noah,201149
Oleksiy Pecherov,200762
Gabe Pruitt,201172
Chris Richard,201181
Cheikh Samb,200798
Luis Scola,2449
Ramon Sessions,201196
Courtney Sims,201235
Jason Smith,201160
Rodney Stuckey,201155
Billy Thomas,2873
Al Thornton,201154
Alando Tucker,201169
Darius Washington,200827
Darryl Watkins,201208
Mario West,201238
Sean Williams,201157
Brandan Wright,201148
Julian Wright,201153
Nick Young,201156
Thaddeus Young,201152
Blake Ahearn,201336
Joe Alexander,201570
Ryan Anderson,201583
Darrell Arthur,201589
Nicolas Batum,201587
Jerryd Bayless,201573
Michael Beasley,201563
Bobby Brown,201628
Will Bynum,101198
Mario Chalmers,201596
Joey Dorsey,201595
Chris Douglas-Roberts,201604
Danilo Gallinari,201568
Marc Gasol,201188
Eric Gordon,201569
Hamed Haddadi,201632
Malik Hairston,201612
Roy Hibbert,201579
George Hill,201588
Steven Hill,201631
Othello Hunter,201629
Darnell Jackson,201616
Nathan Jawai,201605
Trey Johnson,201234
DeAndre Jordan,201599
Kosta Koufos,201585
Rob Kurz,201633
Courtney Lee,201584
Brook Lopez,201572
Robin Lopez,201577
Kevin Love,201567
Cartier Martin,201858
Luc Mbah a Moute,201601
JaVale McGee,201580
Anthony Morrow,201627
DeMarcus Nelson,201634
Greg Oden,201141
Anthony Randolph,201576
Derrick Rose,201565
Brandon Rush,201575
Walter Sharpe,201594
Sean Singletary,201606
Marreese Speights,201578
Mike Taylor,201446
Jason Thompson,201574
Anthony Tolliver,201229
Henry Walker,201611
Kyle Weaver,201602
Sonny Weems,201603
Russell Westbrook,201566
Jawad Williams,101214
Sun Yue,201180
David Andersen,2431
Antonio Anderson,202079
Jeff Ayres,201965
Rodrigue Beaubois,201958
DeJuan Blair,201971
Jon Brockman,201972
Derrick Brown,201974
Chase Budinger,201978
DeMarre Carroll,201960
Omri Casspi,201956
Earl Clark,201947
Darren Collison,201954
Dante Cunningham,201967
JamesOn Curry,201191
Stephen Curry,201939
Austin Daye,201948
DeMar DeRozan,201942
Toney Douglas,201962
Wayne Ellington,201961
Tyreke Evans,201936
Jonny Flynn,201938
Sundiata Gaines,202178
Taj Gibson,201959
Danny Green,201980
Taylor Griffin,201981
Tyler Hansbrough,201946
James Harden,201935
Mike Harris,200839
Gerald Henderson,76993
Jordan Hill,201941
Jrue Holiday,201950
Lester Hudson,201991
Chris Hunter,201805
Serge Ibaka,201586
Cedric Jackson,202132
Brandon Jennings,201943
Jonas Jerebko,201973
James Johnson,201949
Marcus Landry,202068
Ty Lawson,201951
Wesley Matthews,202083
Eric Maynor,201953
Jodie Meeks,201975
DaJuan Summers,201969
Jermaine Taylor,201966
Jeff Teague,201952
Garrett Temple,202066
Hasheem Thabeet,201934
Marcus Thornton,201977
Terrence Williams,201944
Sam Young,201970
Jeff Adrien,202399
Solomon Alabi,202374
Cole Aldrich,202332
Al-Farouq Aminu,202329
James Anderson,202341
Luke Babbitt,202337
Eric Bledsoe,202339
Trevor Booker,202344
Craig Brackins,202342
Avery Bradley,202340
Derrick Caracter,202382
Sherron Collins,202395
DeMarcus Cousins,202326
Jordan Crawford,202348
Ed Davis,202334
Zabian Dowdell,202220
Devin Ebanks,202365
Semih Erden,201623
Jeremy Evans,202379
Christian Eyenga,201963
Derrick Favors,202324
Landry Fields,202361
Gary Forbes,201814
Alonzo Gee,202087
Paul George,202331
Blake Griffin,201933
Luke Harangody,202376
Manny Harris,202412
Gordon Hayward,202330
Lazar Hayward,202351
Xavier Henry,202333
Damion James,202345
Armon Johnson,202356
Chris Johnson,202419
Wesley Johnson,202325
Dominique Jones,202346
Gani Lawal,202371
Jeremy Lin,202391
Greg Monroe,202328
Timofey Mozgov,202389
Gary Neal,202390
Larry Owens,202082
Patrick Patterson,202335
Dexter Pittman,202354
Quincy Pondexter,202347
Andy Rautins,202360
Samardo Samuels,202396
Larry Sanders,202336
Mustafa Shakur,201203
Garret Siler,202081
Tiago Splitter,201168
Lance Stephenson,202362
Pape Sy,202377
Evan Turner,202323
Ekpe Udoh,202327
Ben Uzoh,202386
John Wall,202322
Willie Warren,202378
Hassan Whiteside,202355
Reggie Williams,199
Lavoy Allen,202730
Bismack Biyombo,202687
MarShon Brooks,202705
Alec Burks,202692
Jimmy Butler,202710
Norris Cole,202708
Kenneth Faried,202702
Jeff Foote,202880
Courtney Fortson,202622
Jimmer Fredette,202690
Mickell Gladness,202148
Andrew Goudelock,202726
Jordan Hamilton,202706
Justin Harper,202712
Josh Harrellson,202725
Terrel Harris,202227
Tobias Harris,202699
Cory Higgins,202809
Darington Hobson,202359
Tyler Honeycutt,202715
Dennis Horner,202862
Kyrie Irving,202681
Reggie Jackson,202704
Charles Jenkins,202724
Carldell Johnson,201291
Ivan Johnson,201274
JaJuan Johnson,202707
Jerome Jordan,202366
Cory Joseph,202709
Brandon Knight,202688
Malcolm Lee,202723
Kawhi Leonard,202695
Travis Leslie,202727
Jon Leuer,202720
DeAndre Liggins,202732
Shelvin Mack,202714
Vernon Macklin,202731
E'Twaun Moore,202734
Darius Morris,202721
Marcus Morris,202694
Markieff Morris,202693
Daniel Orton,202350
Jeremy Pargo,202951
Chandler Parsons,202718
Ryan Reid,202385
Ricky Rubio,201937
Walker Russell,78048
Josh Selby,202729
Iman Shumpert,202697
Chris Singleton,202698
Donald Sloan,202388
Greg Smith,78190
Nolan Smith,202701
Greg Stiemsma,201880
Julyan Stone,202933
Isaiah Thomas,202738
Lance Thomas,202498
Malcolm Thomas,202952
Trey Thompkins,202717
Klay Thompson,202691
Mychel Thompson,202814
Tristan Thompson,202684
Jeremy Tyler,202719
Kemba Walker,202689
Derrick Williams,202682
Elliot Williams,202343
Jordan Williams,202716
Chris Wright,202874
Quincy Acy,203112
Josh Akognon,203006
Harrison Barnes,203084
Will Barton,203115
Aron Baynes,203382
Kent Bazemore,203145
Bradley Beal,203078
Patrick Beverley,201976
Victor Claver,201964
Chris Copeland,203142
Jae Crowder,203109
Jared Cunningham,203099
Anthony Davis,203076
Nando De Colo,201986
Justin Dentmon,202458
Andre Drummond,203083
Kim English,203119
Festus Ezeli,203105
Evan Fournier,203095
Joel Freeland,200777
Diante Garrett,203197
Draymond Green,203110
Ben Hansbrough,203162
John Henson,203089
Justin Holiday,203200
Bernard James,203108
John Jenkins,203098
Orlando Johnson,203111
Darius Johnson-Odom,203130
DeQuan Jones,203199
Kevin Jones,203158
Perry Jones,203103
Terrence Jones,203093
Kris Joseph,203126
Michael Kidd-Gilchrist,203077
Doron Lamb,203117
Jeremy Lamb,203087
Meyers Leonard,203086
Damian Lillard,203081
Scott Machado,203159
Kendall Marshall,203088
Fab Melo,203097
Khris Middleton,203114
Darius Miller,203121
Quincy Miller,203113
Arnett Moultrie,203102
Kevin Murphy,203122
Andrew Nicholson,203094
Kyle O'Quinn,203124
Tim Ohlbrecht,203317
Miles Plumlee,203101
Pablo Prigioni,203143
Austin Rivers,203085
Brian Roberts,203148
Thomas Robinson,203080
Terrence Ross,203082
Robert Sacre,203135
Mike Scott,203118
Tornike Shengelia,203129
Alexey Shved,203144
Henry Sims,203156
Kyle Singler,202713
Jared Sullinger,203096
Tyshawn Taylor,203116
Marquis Teague,203104
Jarvis Varnado,202363
Dion Waiters,203079
Maalik Wayns,203146
Tony Wroten,203100
Luke Zeller,202545
Tyler Zeller,203092
Steven Adams,203500
Giannis Antetokounmpo,203507
Chris Babb,203569
Anthony Bennett,203461
Vander Blue,203505
Reggie Bullock,203493
Trey Burke,203504
Dwight Buycks,202779
Nick Calathes,201979
Kentavious Caldwell-Pope,203484
Isaiah Canaan,203477
Michael Carter-Williams,203487
Dionte Christmas,202091
Ian Clark,203546
Robert Covington,203496
Allen Crabbe,203459
Seth Curry,203552
Troy Daniels,203584
Gigi Datome,203540
Brandon Davies,203561
Dewayne Dedmon,203473
Matthew Dellavedova,203521
Gorgui Dieng,203476
Shane Edwards,202197
Carrick Felix,203467
Jamaal Franklin,203479
Rudy Gobert,203497
Archie Goodwin,203462
Justin Hamilton,203120
Elias Harris,203548
Solomon Hill,203524
Scotty Hopson,203816
Robbie Hummel,203133
Othyus Jeffers,201785
Sergey Karasev,203508
Ryan Kelly,203527
Shane Larkin,203499
Ricky Ledo,203495
Alex Len,203458
Ray McCallum,203492
CJ McCollum,203468
Ben McLemore,203463
Gal Mekel,203539
Tony Mitchell,203183
Shabazz Muhammad,203498
Erik Murphy,203513
Mike Muscala,203488
James Nunnally,203263
Victor Oladipo,203506
Kelly Olynyk,203482
Arinze Onuaku,202620
Mason Plumlee,203486
